"AUN","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","Number Scored Math","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","Number Scored Reading","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
103027352,"ALLEGHENY",3,"PENN HILLS SD",8,43.8,48.2,471,18.3,25.5,23.4,32.9,470,19.1,29.1,20.6,31.1
103027352,"ALLEGHENY",3,"PENN HILLS SD",11,35.2,52.8,474,12.2,23.0,20.3,44.5,473,19.2,33.6,20.7,26.4
103021003,"ALLEGHENY",3,"PINE-RICHLAND SD",3,92.0,81.0,304,69.0,23.0,5.0,3.0,304,42.0,39.0,10.0,8.0
103021003,"ALLEGHENY",3,"PINE-RICHLAND SD",5,82.6,82.3,311,49.5,33.1,14.5,2.9,311,29.9,52.4,11.6,6.1
103021003,"ALLEGHENY",3,"PINE-RICHLAND SD",8,86.7,76.5,324,60.2,26.5,8.0,5.2,324,44.4,32.1,11.7,11.7
103021003,"ALLEGHENY",3,"PINE-RICHLAND SD",11,86.0,83.9,279,54.5,31.5,9.0,5.0,279,49.1,34.8,9.3,6.8
102027451,"ALLEGHENY",2,"PITTSBURGH SD",3,67.0,49.0,2209,30.0,37.0,18.0,15.0,2204,16.0,33.0,22.0,29.0
102027451,"ALLEGHENY",2,"PITTSBURGH SD",5,55.6,46.2,2263,26.7,28.9,25.0,19.4,2255,12.5,33.7,22.1,31.7
102027451,"ALLEGHENY",2,"PITTSBURGH SD",8,45.8,49.4,2432,21.8,24.0,20.1,34.0,2422,21.4,28.0,20.8,29.7
102027451,"ALLEGHENY",2,"PITTSBURGH SD",11,38.4,51.1,1968,17.5,20.9,18.3,43.3,1971,23.6,27.5,15.4,33.4
103027503,"ALLEGHENY",3,"PLUM BOROUGH SD",3,92.0,83.0,315,67.0,25.0,5.0,3.0,315,37.0,46.0,11.0,5.0
103027503,"ALLEGHENY",3,"PLUM BOROUGH SD",5,79.3,77.3,299,44.5,34.8,16.1,4.7,299,30.8,46.5,13.7,9.0
103027503,"ALLEGHENY",3,"PLUM BOROUGH SD",8,72.2,84.8,374,33.4,38.8,19.0,8.8,373,55.0,29.8,10.2,5.1
103027503,"ALLEGHENY",3,"PLUM BOROUGH SD",11,54.8,77.0,359,26.7,28.1,22.3,22.8,356,39.9,37.1,10.4,12.6
103027753,"ALLEGHENY",3,"QUAKER VALLEY SD",3,93.0,85.0,156,68.0,25.0,4.0,3.0,156,48.0,37.0,10.0,5.0
103027753,"ALLEGHENY",3,"QUAKER VALLEY SD",5,83.2,80.1,161,62.7,20.5,13.7,3.1,161,50.3,29.8,8.7,11.2
103027753,"ALLEGHENY",3,"QUAKER VALLEY SD",8,79.1,75.9,134,50.7,28.4,13.4,7.5,133,46.6,29.3,11.3,12.8
103027753,"ALLEGHENY",3,"QUAKER VALLEY SD",11,72.1,83.4,158,39.2,32.9,13.3,14.6,156,55.8,27.6,9.0,7.7
103028203,"ALLEGHENY",3,"RIVERVIEW SD",3,94.0,90.0,86,71.0,23.0,6.0,0.0,86,59.0,31.0,5.0,5.0
103028203,"ALLEGHENY",3,"RIVERVIEW SD",5,86.0,79.0,100,53.0,33.0,9.0,5.0,100,36.0,43.0,14.0,7.0
103028203,"ALLEGHENY",3,"RIVERVIEW SD",8,64.4,66.7,90,34.4,30.0,16.7,18.9,90,37.8,28.9,17.8,15.6
103028203,"ALLEGHENY",3,"RIVERVIEW SD",11,64.4,78.4,104,28.8,35.6,22.1,13.5,102,33.3,45.1,9.8,11.8
103028302,"ALLEGHENY",3,"SHALER AREA SD",3,88.0,79.0,332,59.0,29.0,8.0,4.0,331,41.0,38.0,10.0,11.0
103028302,"ALLEGHENY",3,"SHALER AREA SD",5,65.0,71.3,429,29.6,35.4,25.2,9.8,429,24.9,46.4,14.7,14.0
103028302,"ALLEGHENY",3,"SHALER AREA SD",8,67.9,65.5,448,37.3,30.6,15.2,17.0,447,33.1,32.4,14.5,19.9
103028302,"ALLEGHENY",3,"SHALER AREA SD",11,57.7,68.6,475,31.6,26.1,16.2,26.1,474,34.0,34.6,13.7,17.7
103028653,"ALLEGHENY",3,"SOUTH ALLEGHENY SD",3,82.0,66.0,110,55.0,27.0,11.0,6.0,110,36.0,30.0,23.0,11.0
103028653,"ALLEGHENY",3,"SOUTH ALLEGHENY SD",5,67.6,59.3,145,41.4,26.2,17.9,14.5,145,20.7,38.6,20.0,20.7
103028653,"ALLEGHENY",3,"SOUTH ALLEGHENY SD",8,43.6,53.5,142,21.1,22.5,30.3,26.1,142,22.5,31.0,24.6,21.8
103028653,"ALLEGHENY",3,"SOUTH ALLEGHENY SD",11,43.1,71.3,116,14.7,28.4,25.0,31.9,115,29.6,41.7,13.9,14.8
103028703,"ALLEGHENY",3,"SOUTH FAYETTE TOWNSHIP",3,94.0,85.0,164,81.0,13.0,2.0,4.0,165,46.0,39.0,6.0,8.0
103028703,"ALLEGHENY",3,"SOUTH FAYETTE TOWNSHIP",5,97.0,90.9,131,71.0,26.0,3.1,0.0,131,40.5,50.4,5.3,3.8
103028703,"ALLEGHENY",3,"SOUTH FAYETTE TOWNSHIP",8,90.4,89.7,155,71.0,19.4,4.5,5.2,155,72.3,17.4,3.9,6.5
103028703,"ALLEGHENY",3,"SOUTH FAYETTE TOWNSHIP",11,78.0,87.2,118,45.8,32.2,11.0,11.0,118,50.8,36.4,5.9,6.8
103028753,"ALLEGHENY",3,"SOUTH PARK SD",3,91.0,86.0,150,63.0,28.0,7.0,2.0,150,37.0,49.0,7.0,7.0
103028753,"ALLEGHENY",3,"SOUTH PARK SD",5,58.2,69.8,189,27.5,30.7,30.2,11.6,189,29.1,40.7,15.3,14.8
103028753,"ALLEGHENY",3,"SOUTH PARK SD",8,71.9,79.6,153,35.3,36.6,18.3,9.8,152,48.7,30.9,11.2,9.2
103028753,"ALLEGHENY",3,"SOUTH PARK SD",11,69.1,87.6,162,28.4,40.7,17.9,13.0,161,51.6,36.0,6.8,5.6
103028833,"ALLEGHENY",3,"STEEL VALLEY SD",3,90.0,72.0,124,60.0,30.0,7.0,2.0,124,27.0,45.0,17.0,11.0
103028833,"ALLEGHENY",3,"STEEL VALLEY SD",5,73.1,59.3,145,48.3,24.8,20.7,6.2,145,20.0,39.3,24.8,15.9
103028833,"ALLEGHENY",3,"STEEL VALLEY SD",8,52.2,44.1,161,28.0,24.2,23.6,24.2,161,19.3,24.8,26.7,29.2
103028833,"ALLEGHENY",3,"STEEL VALLEY SD",11,33.8,53.3,139,18.7,15.1,20.1,46.0,137,27.0,26.3,12.4,34.3
103028853,"ALLEGHENY",3,"STO-ROX SD",3,53.0,47.0,80,13.0,40.0,26.0,21.0,81,11.0,36.0,23.0,30.0
103028853,"ALLEGHENY",3,"STO-ROX SD",5,53.0,29.0,100,28.0,25.0,34.0,13.0,100,6.0,23.0,30.0,41.0
103028853,"ALLEGHENY",3,"STO-ROX SD",8,28.5,32.8,119,6.7,21.8,26.1,45.4,119,11.8,21.0,25.2,42.0
103028853,"ALLEGHENY",3,"STO-ROX SD",11,14.6,37.9,96,4.2,10.4,32.3,53.1,95,10.5,27.4,23.2,38.9
103029203,"ALLEGHENY",3,"UPPER SAINT CLAIR SD",3,98.0,92.0,298,78.0,20.0,1.0,0.0,298,63.0,29.0,7.0,2.0
103029203,"ALLEGHENY",3,"UPPER SAINT CLAIR SD",5,89.2,86.7,315,65.7,23.5,8.3,2.5,315,45.4,41.3,8.9,4.4
103029203,"ALLEGHENY",3,"UPPER SAINT CLAIR SD",8,92.0,89.7,313,75.4,16.6,5.4,2.6,312,62.8,26.9,8.3,1.9
