"2006 PSSA District Level Results: % of Students at Each Performance Level (Full Academic Year)",,,,,,,,,,,,,,,,
"* Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"AUN","County","IU","District Name","Grade","Number scored in Math","Math Advanced & Proficient","Math Advanced","Math Proficient","Math Basic","Math Below Basic","Number scored in Reading","Reading Advanced & Proficient","Reading Advanced","Reading Proficient","Reading Basic","Reading Below Basic"
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",8,360,83.6,60.8,22.8,10.0,6.4,360,88.6,69.4,19.2,5.6,5.8
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",11,395,68.6,42.0,26.6,15.4,15.9,395,79.5,50.6,28.9,12.7,7.8
103024102,"ALLEGHENY",3,"GATEWAY SD",3,266,82.0,56.0,26.0,13.0,5.0,266,70.0,31.0,39.0,17.0,13.0
103024102,"ALLEGHENY",3,"GATEWAY SD",4,293,82.3,46.1,36.2,8.2,9.6,292,76.8,38.4,38.4,12.3,11.0
103024102,"ALLEGHENY",3,"GATEWAY SD",5,300,61.6,34.3,27.3,20.0,18.3,298,56.4,13.4,43.0,19.8,23.8
103024102,"ALLEGHENY",3,"GATEWAY SD",6,319,62.7,32.0,30.7,21.3,16.0,318,69.8,33.0,36.8,17.0,13.2
103024102,"ALLEGHENY",3,"GATEWAY SD",7,327,68.2,39.1,29.1,18.7,13.1,328,74.4,45.7,28.7,14.9,10.7
103024102,"ALLEGHENY",3,"GATEWAY SD",8,367,60.7,33.5,27.2,21.5,17.7,367,79.0,53.1,25.9,9.3,11.7
103024102,"ALLEGHENY",3,"GATEWAY SD",11,381,60.1,34.1,26.0,16.0,23.9,380,71.4,40.3,31.1,15.8,12.9
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",3,228,96.0,85.0,11.0,2.0,2.0,228,91.0,64.0,27.0,5.0,4.0
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",4,241,95.5,68.9,26.6,2.9,1.7,240,92.1,57.9,34.2,5.4,2.5
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",5,244,86.5,56.6,29.9,9.4,4.1,244,86.0,39.3,46.7,9.4,4.5
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",6,235,81.7,52.3,29.4,8.9,9.4,235,87.2,61.7,25.5,8.5,4.3
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",7,247,88.6,68.0,20.6,5.7,5.7,247,91.5,64.8,26.7,6.1,2.4
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",8,251,85.3,56.2,29.1,9.6,5.2,251,92.4,78.5,13.9,5.6,2.0
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",11,306,84.0,55.2,28.8,9.5,6.5,305,90.8,62.3,28.5,6.2,3.0
103024753,"ALLEGHENY",3,"HIGHLANDS SD",3,198,85.0,55.0,30.0,11.0,5.0,198,75.0,37.0,38.0,14.0,10.0
103024753,"ALLEGHENY",3,"HIGHLANDS SD",4,202,87.1,51.5,35.6,6.4,6.4,202,70.2,25.2,45.0,17.3,12.4
103024753,"ALLEGHENY",3,"HIGHLANDS SD",5,189,83.1,49.2,33.9,12.2,4.8,190,69.5,13.7,55.8,19.5,11.1
103024753,"ALLEGHENY",3,"HIGHLANDS SD",6,241,69.3,36.5,32.8,19.9,10.8,241,73.4,34.0,39.4,14.5,12.0
103024753,"ALLEGHENY",3,"HIGHLANDS SD",7,234,76.9,30.3,46.6,15.0,8.1,235,68.9,30.2,38.7,19.6,11.5
103024753,"ALLEGHENY",3,"HIGHLANDS SD",8,211,67.3,36.0,31.3,18.5,14.2,211,69.7,42.7,27.0,14.7,15.6
103024753,"ALLEGHENY",3,"HIGHLANDS SD",11,200,54.0,23.5,30.5,21.0,25.0,200,65.0,23.5,41.5,20.0,15.0
103025002,"ALLEGHENY",3,"KEYSTONE OAKS SD",3,166,90.0,65.0,25.0,8.0,2.0,166,83.0,42.0,41.0,11.0,7.0
103025002,"ALLEGHENY",3,"KEYSTONE OAKS SD",4,156,89.1,59.6,29.5,5.1,5.8,157,84.1,42.7,41.4,12.1,3.8
103025002,"ALLEGHENY",3,"KEYSTONE OAKS SD",5,167,77.8,45.5,32.3,17.4,4.8,167,78.4,34.1,44.3,15.6,6.0
